Sample Name,d13C,d18O,species,location,age,layer,shell height,shell length
16o,2.99,1.44,maxima,israel,modern,outer,6.096,11.7475
18i,1.85,0.88,squamosa,israel,modern,inner,3.81,6.35
18o,2.15,0.76,squamosa,israel,modern,outer,3.81,6.35
19i,1.77,1.14,squamosa,israel,modern,inner,3.175,5.715
19o,2.37,1.62,squamosa,israel,modern,outer,3.175,5.715
22i,2.4,1.3,maxima,israel,modern,inner,3.175,5.715
22i,2.3,1.15,maxima,israel,modern,inner,3.175,5.715
22o,1.99,1.55,maxima,israel,modern,outer,3.175,5.715
26i,1.61,0.99,maxima,israel,modern,inner,7.874,11.684
26o,1.67,1.12,maxima,israel,modern,outer,7.874,11.684
27.1i,1.95,1.51,squamosa,israel,modern,inner,7.62,12.446
27.1o,1.95,0.63,squamosa,israel,modern,outer,7.62,12.446
28i,1.79,1.31,squamosa,israel,modern,inner,5.334,10.668
28o,1.62,0.94,squamosa,israel,modern,outer,5.334,10.668
28o,1.95,0.72,squamosa,israel,modern,outer,5.334,10.668
29i,1.74,0.83,maxima,israel,modern,inner,4.064,6.096
29o,1.71,0.64,maxima,israel,modern,outer,4.064,6.096
34i,2.51,1.33,undet,israel,modern,inner,fragment,fragment
34o,3.03,1.02,undet,israel,modern,outer,fragment,fragment
35i,3.13,2.25,maxima,israel,modern,inner,3.556,4.826
35o,3.1,1.46,maxima,israel,fossil,outer,3.556,4.826
53i,1.89,0.83,undet,israel,modern,inner,fragment,fragment
53o,0.98,-0.25,undet,israel,modern,outer,fragment,fragment
54o,1.41,0.92,undet,israel,modern,outer,7.62,12.7
68i,1.41,1.16,maxima,israel,modern,inner,4.445,9.144
68i,1.89,0.99,maxima,israel,modern,inner,4.445,9.144
68o,1.65,0.65,maxima,israel,modern,outer,4.445,9.144
68o,1.64,0.54,maxima,israel,modern,outer,4.445,9.144
84i,1.6,0.62,maxima,israel,modern,inner,3,5
84o,1.71,1.29,maxima,israel,modern,outer,3,5
87i,3.34,2.73,maxima,israel,modern,inner,2,3.25
87o,1.61,0.63,maxima,israel,modern,outer,2,3.25
FR1o,1.77,1.69,squamosa,israel,modern,outer,,
FRM1i,1.94,0.99,maxima,israel,modern,inner,,
FRM1o,1.74,1.14,maxima,israel,modern,outer,,
FRS1i,1.28,0.14,squamosa,israel,modern,inner,,
FRS1o,1.53,1.35,squamosa,israel,modern,outer,,
H2i,2.19,1.19,maxima,sinai,modern,inner,12,20.5
H2o,1.7,0.92,maxima,sinai,modern,outer,12,20.5
H3i,1.99,0.88,squamosa,sinai,modern,inner,12.5,20
H3o,1.91,0.65,squamosa,sinai,modern,outer,12.5,20
H4i,1.53,1.19,squamosina,sinai,modern,inner,13,26.5
H4o,2.06,0.39,squamosina,sinai,modern,outer,14,23.5
H5i,1.82,0.94,squamosina,sinai,modern,inner,16,26
H5o,2.34,0.71,squamosina,sinai,modern,outer,16,26
J12i,3.58,3.48,undet,jordan,modern,inner,4,7.112
J12o,-3,-0.83,undet,jordan,modern,outer,4,7.112
J1o,2.8,1.42,maxima,jordan,fossil,outer,MSS fossil reef,
J23o,0.96,-0.37,squamosina,jordan,modern,outer,20.32,33.02
J24i,3.09,1.92,undet,jordan,modern,inner,fragment,fragment
J24o,3.39,1.97,undet,jordan,modern,outer,fragment,fragment
J33i,3.13,2.89,undet,jordan,modern,inner,fragment,fragment
J33o,2.95,2.4,undet,jordan,modern,outer,fragment,fragment
J38i,3.26,1.66,squamosina,jordan,fossil,inner,jordan terrace 1,
J38o,3.47,0.64,squamosina,jordan,fossil,outer,jordan terrace 1,
J43i,3.33,2.68,maxima,jordan,modern,inner,10.16,16.002
J43o,2.87,1.43,maxima,jordan,modern,outer,10.16,16.002
J53o,1.44,1.26,maxima,jordan,modern,outer,3,5.25
J53o,1.38,0.63,maxima,jordan,modern,outer,3,5.25
J7i,3.02,1.59,squamosa,jordan,modern,inner,7.62,13.208
J9i,3.86,2.02,maxima,jordan,modern,inner,10,17.78
O11i,2.08,1.49,undet,israel,modern,inner,,
O11o,2,0.73,undet,israel,modern,outer,,
O13i,1.76,1.07,undet,jordan,modern,inner,,
O13o,1.74,0.84,undet,jordan,modern,outer,,
O2i,1.7,1.24,maxima,israel,modern,inner,5.5,8.5
O2o,1.76,1.19,maxima,israel,modern,outer,5.5,8.5
O4i,3.27,1.48,squamosa,israel,modern,inner,6,9
O4o,3.07,1.23,squamosa,israel,modern,outer,6,9
O5i,1.92,1.53,maxima,israel,modern,inner,fragment,fragment
O5o,1.79,1.5,maxima,israel,modern,outer,fragment,fragment
SQSA1i,0.22,-0.19,squamosina,israel,modern,inner,,
SQSA1o,1.71,0.66,squamosina,israel,modern,outer,,
SQSA2i,1.56,0.73,squamosina,israel,modern,inner,,
SQSA2o,2.11,0.79,squamosina,israel,modern,inner,,
